school_name,name,Phone,School_District,ELL_Percent,Special_Needs_Percent,French_Immersion_Percent,score,gr4_reading_2022,gr4_reading_2021,gr4_reading_2020,gr4_reading_2019,gr4_reading_2018,gr4_writing_2022,gr4_writing_2021,gr4_writing_2020,gr4_writing_2019,gr4_writing_2018,gr4_literacy_2022,gr4_literacy_2021,gr4_literacy_2020,gr4_literacy_2019,gr4_literacy_2018,gr4_numeracy_2022,gr4_numeracy_2021,gr4_numeracy_2020,gr4_numeracy_2019,gr4_numeracy_2018,gr7_reading_2022,gr7_reading_2021,gr7_reading_2020,gr7_reading_2019,gr7_reading_2018,gr7_writing_2022,gr7_writing_2021,gr7_writing_2020,gr7_writing_2019,gr7_writing_2018,gr7_literacy_2022,gr7_literacy_2021,gr7_literacy_2020,gr7_literacy_2019,gr7_literacy_2018,gr7_numeracy_2022,gr7_numeracy_2021,gr7_numeracy_2020,gr7_numeracy_2019,gr7_numeracy_2018,gr7_gender_gap_reading_2022,gr7_gender_gap_reading_2021,gr7_gender_gap_reading_2020,gr7_gender_gap_reading_2019,gr7_gender_gap_reading_2018,gr7_gender_gap_literacy_2022,gr7_gender_gap_literacy_2021,gr7_gender_gap_literacy_2020,gr7_gender_gap_literacy_2019,gr7_gender_gap_literacy_2018,gr7_gender_gap_numeracy_2022,gr7_gender_gap_numeracy_2021,gr7_gender_gap_numeracy_2020,gr7_gender_gap_numeracy_2019,gr7_gender_gap_numeracy_2018,below_expectations__2022,below_expectations__2021,below_expectations__2020,below_expectations__2019,below_expectations__2018,tests_not_written__2022,tests_not_written__2021,tests_not_written__2020,tests_not_written__2019,tests_not_written__2018,overall_rating_out_of_10_2022,overall_rating_out_of_10_2021,overall_rating_out_of_10_2020,overall_rating_out_of_10_2019,overall_rating_out_of_10_2018
West Bay Elementary,School Rankings,604 981-1260,West Vancouver,26.8,8.5,0,8.6,Discontinued,577,620,626,641,Discontinued,704,700,784,815,546,n/a,n/a,n/a,n/a,554,598,627,676,672,Discontinued,571,606,585,560,Discontinued,755,809,822,820,549,n/a,n/a,n/a,n/a,576,584,612,579,611,Discontinued,F 47,F 12,M 7,F 35,M 10,n/a,n/a,n/a,n/a,M 44,F 9,F 24,F 9,M 12,5.7,1.6,0.9,1.3,0.3,4.6,14.6,6.8,8.8,4.9,8.6,8.8,10,10,10
Collingwood at Glenmore,School Rankings,604 925-3331,West Vancouver,0,8.2,0,9.8,Discontinued,583,587,567,572,Discontinued,689,747,747,670,596,n/a,n/a,n/a,n/a,652,639,646,604,593,Discontinued,584,554,565,575,Discontinued,791,678,720,739,562,n/a,n/a,n/a,n/a,593,632,597,609,594,Discontinued,F 20,M 13,F 31,F 14,M 2,n/a,n/a,n/a,n/a,M 30,M 26,M 54,F 2,M 2,0.9,0.6,0.2,1.5,1.5,0,0.6,0.4,0,0.4,9.8,9.4,9.3,9.5,9.7
Mulrave,School Rankings,604 922-3223,West Vancouver,0,4.7,0,9.5,Discontinued,611,591,618,587,Discontinued,817,814,799,865,610,n/a,n/a,n/a,n/a,642,620,619,612,594,Discontinued,581,610,594,591,Discontinued,743,732,768,792,574,n/a,n/a,n/a,n/a,592,610,615,635,596,Discontinued,F 30,F 41,F 18,F 22,F 12,n/a,n/a,n/a,n/a,M 56,F 21,M 33,M 13,M 19,2,0.5,0.5,0.5,0.5,2.3,6.5,4.4,4,3.1,9.5,9.4,9.6,10,10
Irwin Park Elementary,School Rankings,604 981-1240,West Vancouver,45,6.2,0,8.8,Discontinued,586,548,531,602,Discontinued,696,711,688,795,556,n/a,n/a,n/a,n/a,602,614,583,566,601,Discontinued,586,576,522,570,Discontinued,778,740,681,731,548,n/a,n/a,n/a,n/a,562,617,576,571,596,Discontinued,F 14,F 2,F 32,M 4,M 19,n/a,n/a,n/a,n/a,M 46,M 6,M 19,F 11,M 11,3,0,2.7,6.5,1.4,3.8,18.9,12.3,12.3,12.6,8.8,9.4,9.3,8.2,9.8
Ecole Pauline Johnson Elementary,School Rankings,604 981-1225,West Vancouver,38.8,4.3,100,9.1,Discontinued,596,565,561,568,Discontinued,738,757,729,799,569,n/a,n/a,n/a,n/a,536,603,592,569,571,Discontinued,583,600,551,582,Discontinued,788,786,826,798,570,n/a,n/a,n/a,n/a,566,628,612,580,589,Discontinued,M 12,F 15,F 48,F 13,M 7,n/a,n/a,n/a,n/a,M 13,F 8,M 43,F 33,M 33,4.8,0.3,0.4,4,1.7,6.8,1.6,6.4,4.6,2.3,9.1,9.7,9.6,8.8,9.7
Ridgeview Elementary,School Rankings,604 981-1250,West Vancouver,39.1,6.9,0,8.8,Discontinued,590,534,569,573,Discontinued,726,727,773,714,552,n/a,n/a,n/a,n/a,580,618,584,564,583,Discontinued,551,587,576,573,Discontinued,724,764,764,750,562,n/a,n/a,n/a,n/a,560,579,584,561,552,Discontinued,F 34,F 25,F 5,F 12,F 20,n/a,n/a,n/a,n/a,M 11,F 13,F 2,M 31,M 33,5.7,2.6,4,2.7,1.8,13,8.8,10.2,8.2,6.7,8.8,8.9,9.3,9.3,9.2
Chartwell Elementary,School Rankings,604 981-1210,West Vancouver,40.6,6.8,0,8.6,Discontinued,540,546,511,522,Discontinued,719,694,712,717,532,n/a,n/a,n/a,n/a,511,549,524,526,538,Discontinued,550,549,583,558,Discontinued,733,710,773,773,555,n/a,n/a,n/a,n/a,573,584,555,621,569,Discontinued,M 17,F 13,M 5,F 2,F 20,n/a,n/a,n/a,n/a,F 9,M 56,M 3,F 7,F 1,7.8,3.2,3.7,5.5,6.1,4.7,10.5,4.5,13.6,12.3,8.6,8.2,8.9,9.1,9.1
Westcot,School Rankings,604 981-1270,West Vancouver,37.9,5.6,0,10,Discontinued,619,569,565,652,Discontinued,852,760,732,814,590,n/a,n/a,n/a,n/a,619,669,609,598,639,Discontinued,607,616,588,578,Discontinued,769,796,813,815,600,n/a,n/a,n/a,n/a,622,621,604,620,588,Discontinued,M 29,F 23,F 25,F 33,F 8,n/a,n/a,n/a,n/a,F 3,M 45,M 17,F 26,M 6,1,0.3,1,2,0.3,10.3,5.6,5.7,13.9,7.9,10,9.7,9.9,9.4,10
Ecole Cedardale,School Rankings,604 981-1390,West Vancouver,22.9,5.6,100,10,Discontinued,638,628,603,645,Discontinued,697,736,729,766,596,n/a,n/a,n/a,n/a,625,675,667,632,659,Discontinued,572,651,563,579,Discontinued,757,828,783,833,569,n/a,n/a,n/a,n/a,632,583,667,582,606,Discontinued,M 2,F 11,F 57,n/a,M 5,n/a,n/a,n/a,n/a,M 21,M 19,F 2,F 40,n/a,1.4,0.5,0,0.4,0,0,5.5,0,0,3.6,10,9.7,10,9.2,10
St Anthonys,School Rankings,604 922-0011,West Vancouver,0,7.1,0,9.1,Discontinued,539,528,515,578,Discontinued,732,644,750,733,580,n/a,n/a,n/a,n/a,574,534,511,564,578,Discontinued,599,619,573,581,Discontinued,843,823,750,844,569,n/a,n/a,n/a,n/a,523,579,556,587,574,Discontinued,n/a,n/a,M 24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,M 30,n/a,7.1,2.4,8,3.7,3.6,2,0,3.8,0,2.8,9.1,9.4,9,8.9,9.9
St Augustine,School Rankings,604 731-8024,Vancouver,0,6.8,0,9.3,Discontinued,585,572,625,589,Discontinued,682,620,800,741,586,n/a,n/a,n/a,n/a,588,628,589,598,602,Discontinued,592,563,569,582,Discontinued,708,733,759,630,615,n/a,n/a,n/a,n/a,539,599,554,570,570,Discontinued,M 21,M 23,M 6,F 6,F 30,n/a,n/a,n/a,n/a,M 6,M 11,M 51,M 56,M 28,3.9,1.6,5.3,1.7,0,2.5,0,1.3,1.7,1.8,9.3,9.3,8.5,9.6,9.5
St John's,School Rankings,604 732-4434,Vancouver,0,6.5,0,8.9,Discontinued,564,555,568,586,Discontinued,708,756,779,841,552,n/a,n/a,n/a,n/a,621,585,600,594,619,Discontinued,578,578,555,575,Discontinued,767,822,804,744,569,n/a,n/a,n/a,n/a,570,590,607,550,575,Discontinued,F 59,F 38,F 5,F 30,F 6,n/a,n/a,n/a,n/a,M 63,F 16,E,M 25,M 23,4.7,2.3,1.5,3,3.1,4.5,2.6,1.1,0.4,3.8,8.9,8.7,9.7,9.5,9.6
Madrona,School Rankings,604 499-7303,Vancouver,0,53.7,0,9.9,,,,,,,,,,,568,n/a,n/a,n/a,n/a,614,n/a,n/a,n/a,n/a,,,,,,,,,,,584,n/a,n/a,n/a,n/a,605,n/a,n/a,n/a,n/a,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.8,n/a,n/a,n/a,n/a,5.2,n/a,n/a,n/a,n/a,9.9,n/a,n/a,n/a,n/a
Lord Tennyson Elementary,School Rankings,604 713-5426,Vancouver,1.7,6.3,100,7.6,Discontinued,539,520,487,515,Discontinued,529,644,563,536,543,n/a,n/a,n/a,n/a,534,549,561,481,533,Discontinued,575,537,532,542,Discontinued,723,707,610,713,533,n/a,n/a,n/a,n/a,499,570,529,516,549,Discontinued,F 61,n/a,F 10,n/a,F 8,n/a,n/a,n/a,n/a,M 17,M 7,n/a,M 25,n/a,15,7.4,6.8,20.7,9.2,35.4,46.8,33.7,40.5,49.5,7.6,7.3,7.8,6.3,7
Shaughnessy Elementary,School Rankings,604 713-5500,Vancouver,21.8,7.2,0,6.9,Discontinued,561,503,450,513,Discontinued,676,625,587,526,537,n/a,n/a,n/a,n/a,539,600,517,507,547,Discontinued,542,537,475,505,Discontinued,783,662,742,622,480,n/a,n/a,n/a,n/a,492,564,579,526,561,Discontinued,F 28,F 10,F 19,M 13,n/a,n/a,n/a,n/a,n/a,n/a,M 9,M 83,M 12,M 44,14.8,6.4,7.3,16.4,7.4,43.1,17,14.7,27.2,22.1,6.9,8.5,7.5,6.8,7.4
York House,School Rankings,604 736-6551,Vancouver,0,8,0,10,Discontinued,628,600,576,630,Discontinued,781,712,776,744,628,n/a,n/a,n/a,n/a,616,635,608,587,617,Discontinued,617,593,588,564,Discontinued,775,756,788,750,601,n/a,n/a,n/a,n/a,577,617,598,583,607,Discontinued,n/a,n/a,n/a,n/a,,,,,,n/a,n/a,n/a,n/a,n/a,2.5,0,1.7,1.7,0.4,0,0,0,0,1.2,10,10,10,10,10
Emily Carr,School Rankings,604 713-4941,Vancouver,12.7,6.2,0,7.6,Discontinued,n/a,480,n/a,n/a,Discontinued,n/a,618,n/a,n/a,545,n/a,n/a,n/a,n/a,586,n/a,516,n/a,n/a,Discontinued,n/a,522,n/a,n/a,Discontinued,n/a,500,n/a,n/a,533,n/a,n/a,n/a,n/a,548,n/a,551,n/a,n/a,Discontinued,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.6,n/a,10.8,n/a,n/a,59.7,n/a,61.6,n/a,n/a,7.6,n/a,6,n/a,n/a
Vancouver Talmud Torah,School Rankings,604 736-7307,Vancouver,1.9,8.5,0,8,Discontinued,552,530,546,553,Discontinued,631,700,761,692,542,n/a,n/a,n/a,n/a,551,554,549,541,555,Discontinued,537,565,537,558,Discontinued,716,722,833,784,540,n/a,n/a,n/a,n/a,501,549,556,559,573,Discontinued,F 44,F 28,M 34,M 2,F 24,n/a,n/a,n/a,n/a,M 31,M 57,M 23,M 64,M 60,10.1,5.4,3.3,4.7,5.1,3.3,3.7,5.8,3.7,5.1,8,7.6,8.6,8.4,8.8
Blessed Sacrament Schhol,School Rankings,604 876-7211,Vancouver,0,4.1,100,8.6,Discontinued,567,563,548,528,Discontinued,560,500,738,517,535,n/a,n/a,n/a,n/a,536,695,702,631,619,Discontinued,573,567,554,554,Discontinued,750,704,740,675,573,n/a,n/a,n/a,n/a,541,606,588,554,531,Discontinued,M 52,n/a,F 9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,M 19,n/a,M 9,n/a,9.5,2.2,6.7,4.3,8.8,4.5,37.9,2,2.1,0,8.6,8.4,9.3,9.3,8.6
Edith Cavill,School Rankings,604 713-4932,Vancouver,13.3,6.8,0,8.3,Discontinued,527,568,556,498,Discontinued,567,750,619,648,553,n/a,n/a,n/a,n/a,566,518,561,562,477,Discontinued,544,520,517,515,Discontinued,604,797,534,652,548,n/a,n/a,n/a,n/a,536,549,543,502,502,Discontinued,n/a,n/a,n/a,F 20,F 14,n/a,n/a,n/a,n/a,M 15,n/a,n/a,n/a,E,6.1,7.4,1.1,10.1,16.1,38.7,66.7,58.6,46.9,31,8.3,6.5,8.1,6.6,7.1
Rose des Vents,School Rankings,604 267-9022,Vancouver,18.5,6.3,0,8.1,Discontinued,549,534,492,494,Discontinued,679,644,679,561,556,n/a,n/a,n/a,n/a,557,532,563,533,497,Discontinued,487,549,492,535,Discontinued,588,724,607,664,493,n/a,n/a,n/a,n/a,474,472,518,505,489,Discontinued,n/a,n/a,F 24,F 35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,M 46,M 76,10.2,8.1,7.4,20.6,16.4,18.3,40.8,38.3,46.2,24.1,8.1,6.2,7.4,6.6,5.8
Vancouver College,School Rankings,604 833-7769,Vancouver,0,8.5,0,10,Discontinued,586,588,591,626,Discontinued,825,808,875,685,598,n/a,n/a,n/a,n/a,628,609,627,612,616,Discontinued,616,615,613,617,Discontinued,771,734,794,772,616,n/a,n/a,n/a,n/a,640,672,650,602,594,Discontinued,n/a,n/a,n/a,n/a,,,,,,n/a,n/a,n/a,n/a,n/a,0.6,0.4,0.4,0.4,2.6,0,0,0,0,4.3,10,10,10,10,10
Dr. Annie B Jamison,School Rankings,604 713-5367,Vancouver,40.5,2.4,0,8.8,Discontinued,568,490,531,529,Discontinued,701,750,610,533,569,n/a,n/a,n/a,n/a,574,568,526,526,548,Discontinued,504,516,525,547,Discontinued,665,571,623,577,540,n/a,n/a,n/a,n/a,591,540,557,551,560,Discontinued,F 92,F 83,F 10,M 12,F 21,n/a,n/a,n/a,n/a,M 22,F 50,F 19,M 11,M 64,6.1,8.3,8.4,6.6,7.8,10.2,11.7,15.6,5.4,3.6,8.8,7,7,8.1,7.6
Sir Wm Van Horne,School Rankings,604 713-4965,Vancouver,24.9,8.7,0,7.1,Discontinued,494,503,427,482,Discontinued,588,573,568,590,542,n/a,n/a,n/a,n/a,575,522,524,522,490,Discontinued,523,462,500,490,Discontinued,613,628,705,554,485,n/a,n/a,n/a,n/a,497,580,491,557,498,Discontinued,n/a,F 21,F 4,M 14,F 27,n/a,n/a,n/a,n/a,M 37,n/a,F 31,M 20,M 55,13.9,9.5,14.5,13.5,17.4,49,58.4,38,45.3,26.8,7.1,6.5,6.4,6.7,6.2
Sir Wilfrid Laurier,School Rankings,604 713-4925,Vancouver,44,10.8,0,7,Discontinued,443,501,515,527,Discontinued,550,555,554,625,484,n/a,n/a,n/a,n/a,463,492,552,500,563,Discontinued,504,492,487,523,Discontinued,612,635,712,617,508,n/a,n/a,n/a,n/a,533,546,531,530,548,Discontinued,F 2,F 67,F 39,F 18,F 45,n/a,n/a,n/a,n/a,M 9,M 42,M 32,F 22,M 29,18.1,22.9,12.9,12.4,4.6,16.3,14.1,18.4,15.4,35.2,7,6.3,6.6,7,7.7
Sir William Osler,School Rankings,604 713-4920,Vancouver,43.7,8.7,0,6,Discontinued,n/a,n/a,n/a,527,Discontinued,n/a,n/a,n/a,528,563,n/a,n/a,n/a,n/a,606,n/a,n/a,n/a,548,Discontinued,n/a,n/a,n/a,456,Discontinued,n/a,n/a,n/a,514,396,n/a,n/a,n/a,n/a,533,n/a,n/a,n/a,553,Discontinued,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.5,n/a,n/a,n/a,14.9,70.7,n/a,n/a,n/a,50,6,n/a,n/a,n/a,5.9
St. Anthony of Padua,School Rankings,604 261-4043,Vancouver,0,7.7,0,9.6,Discontinued,529,526,531,528,Discontinued,652,725,681,560,573,n/a,n/a,n/a,n/a,629,555,582,575,561,Discontinued,550,594,553,543,Discontinued,694,762,750,680,606,n/a,n/a,n/a,n/a,615,591,621,604,559,Discontinued,F 64,n/a,F 36,F 63,F 45,n/a,n/a,n/a,n/a,F 10,M 13,n/a,E,M 11,1.8,4.8,4.6,2.4,8,0,1.8,0,0,0,9.6,8,9.6,9,7.9
Dr R E McKechnie,School Rankings,604 713-4952,Vancouver,33.1,6.2,0,8.2,Discontinued,510,544,521,524,Discontinued,569,592,597,609,549,n/a,n/a,n/a,n/a,577,524,548,588,552,Discontinued,536,529,484,544,Discontinued,708,703,595,703,497,n/a,n/a,n/a,n/a,530,547,605,566,599,Discontinued,F 21,M 25,M 43,F 59,n/a,n/a,n/a,n/a,n/a,n/a,M 31,M 50,F 6,F 11,12,8.9,6.3,5.7,6.9,11.5,8.5,3.8,31.7,3.8,8.2,7.5,8.3,7.4,8.2
Maple Grove Elementary,School Rankings,604 713-5356,Vancouver,36,5.9,0,7.3,Discontinued,550,485,561,523,Discontinued,638,589,702,640,486,n/a,n/a,n/a,n/a,518,562,515,548,535,Discontinued,540,510,544,534,Discontinued,794,578,686,610,557,n/a,n/a,n/a,n/a,530,560,524,557,556,Discontinued,F 48,F 67,F 27,F 11,F 38,n/a,n/a,n/a,n/a,F 32,F 59,F 25,M 7,M 37,15.9,8.7,12.9,6.5,7.6,10.4,21.9,12.6,6.8,14.4,7.3,7.4,6.6,8.6,7.9
Quilchena Elementary,School Rankings,604 713-5420,Vancouver,17.5,5.5,50.6,6.9,Discontinued,536,491,518,510,Discontinued,618,524,621,518,506,n/a,n/a,n/a,n/a,529,542,533,515,506,Discontinued,530,533,556,517,Discontinued,962,574,675,556,524,n/a,n/a,n/a,n/a,558,518,594,617,558,Discontinued,n/a,F 37,F 32,n/a,M 38,n/a,n/a,n/a,n/a,M 78,n/a,F 49,M 28,n/a,10,7.1,10.9,7.9,10.8,30.1,54.6,24.6,31.5,39,6.9,7.4,6.9,7.7,6.6
Kerrisdale Eleementary,School Rankings,604 713-5446,Vancouver,7.4,5.5,64.6,7.7,Discontinued,536,487,467,517,Discontinued,650,635,583,615,523,n/a,n/a,n/a,n/a,535,525,498,482,521,Discontinued,543,468,521,515,Discontinued,743,696,630,569,527,n/a,n/a,n/a,n/a,547,576,526,514,531,Discontinued,F 46,F 12,F 7,F 62,F 17,n/a,n/a,n/a,n/a,M 36,F 37,M 9,M 10,F 19,11.5,7.8,16.4,13.5,13.4,19.9,43.5,23.6,13.6,11.2,7.7,7.2,7.1,7.1,7
Crofton House,School Rankings,604 263-3255,Vancouver,0,6.1,0,10,Discontinued,635,596,620,627,Discontinued,723,750,794,750,590,n/a,n/a,n/a,n/a,640,688,598,616,603,Discontinued,604,625,611,611,Discontinued,758,835,804,792,610,n/a,n/a,n/a,n/a,589,612,598,604,606,Discontinued,n/a,n/a,n/a,n/a,,,,,,n/a,n/a,n/a,n/a,n/a,1,0,0.3,0.7,0,0.9,3,1,0,0,10,10,10,10,10
Trafalgar Elementary,School Rankings,604 713-5475,Vancouver,17.9,3.8,65.9,7.2,Discontinued,529,504,467,542,Discontinued,579,723,580,577,500,n/a,n/a,n/a,n/a,540,548,519,488,524,Discontinued,517,554,614,556,Discontinued,750,721,809,536,558,n/a,n/a,n/a,n/a,548,563,584,572,562,Discontinued,n/a,F 10,n/a,n/a,F 83,n/a,n/a,n/a,n/a,F 19,n/a,M 22,n/a,n/a,10.5,8.2,8.8,16.5,13.8,25.7,50.5,18.6,63.8,48,7.2,7,8.3,6.1,6.6
Southlands Elementary,School Rankings,604 713-5414,Vancouver,19.1,15.2,0,5.8,Discontinued,n/a,n/a,467,508,Discontinued,n/a,n/a,521,609,456,n/a,n/a,n/a,n/a,476,n/a,n/a,467,524,Discontinued,n/a,n/a,579,448,Discontinued,n/a,n/a,545,583,452,n/a,n/a,n/a,n/a,525,n/a,n/a,594,468,Discontinued,n/a,n/a,n/a,M 22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,M 148,19.7,n/a,n/a,18.8,16,40,n/a,n/a,29.6,23.8,5.8,n/a,n/a,5.9,5.4
St. George's,School Rankings,604 221-3608,Vancouver,0,3.6,0,10,Discontinued,628,592,561,616,Discontinued,846,792,767,768,609,n/a,n/a,n/a,n/a,645,645,644,600,653,Discontinued,609,661,601,593,Discontinued,855,828,818,839,625,n/a,n/a,n/a,n/a,633,637,644,612,643,Discontinued,n/a,n/a,n/a,n/a,,,,,,n/a,n/a,n/a,n/a,n/a,1.1,0.2,0.7,1.3,0.2,0.8,3.4,0,0,0,10,10,10,10,10
Immaculate Conception School,School Rankings,604 224-5012,Vancouver,0,8.2,0,9,Discontinued,553,505,569,583,Discontinued,467,519,731,625,578,n/a,n/a,n/a,n/a,575,556,544,588,622,Discontinued,552,574,564,549,Discontinued,625,688,704,577,571,n/a,n/a,n/a,n/a,560,561,578,554,561,Discontinued,F 50,n/a,F 22,M 21,M 3,n/a,n/a,n/a,n/a,M 62,F 88,n/a,F 13,M 28,1.1,12.9,9.4,2.5,2.6,2.2,0,0,0,0,9,6.6,8.3,9.2,8.8
Lord Kitchener Elementary,School Rankings,604 713-5454,Vancouver,16.5,6.6,0,6.5,Discontinued,540,550,546,505,Discontinued,703,657,581,621,530,n/a,n/a,n/a,n/a,577,570,548,545,501,Discontinued,519,507,523,525,Discontinued,817,704,618,561,497,n/a,n/a,n/a,n/a,551,548,586,553,547,Discontinued,F 51,F 45,F 19,F 18,M 63,n/a,n/a,n/a,n/a,M 100,F 1,F 13,M 12,F 83,8.5,6.6,5.1,6.8,11.1,46.3,33.1,20.5,36.2,50.1,6.5,7.9,8.1,7.6,6.3
Carnarvon Community School,School Rankings,604 713-5396,Vancouver,11.6,6.1,0,6,Discontinued,540,509,511,516,Discontinued,595,645,629,493,539,n/a,n/a,n/a,n/a,493,565,537,494,504,Discontinued,503,493,489,504,Discontinued,556,583,615,590,465,n/a,n/a,n/a,n/a,474,505,533,515,551,Discontinued,F 67,F 53,M 5,M 25,n/a,n/a,n/a,n/a,n/a,n/a,M 16,F 25,M 28,M 48,21.1,13.3,12.6,12.3,11.4,53.9,37.5,25.4,25.1,18.1,6,6.4,6.7,7,6.9
General Gordon Elementary,School Rankings,604 713-5403,Vancouver,9,8,11.6,7.1,Discontinued,547,n/a,n/a,466,Discontinued,625,n/a,n/a,630,570,n/a,n/a,n/a,n/a,521,547,n/a,n/a,522,Discontinued,560,n/a,n/a,544,Discontinued,641,n/a,n/a,458,546,n/a,n/a,n/a,n/a,528,591,n/a,n/a,490,Discontinued,n/a,n/a,n/a,F 66,F 50,n/a,n/a,n/a,n/a,F 35,n/a,n/a,n/a,M 38,14.6,2.5,n/a,n/a,13.6,59,76.4,n/a,n/a,58.5,7.1,7.2,n/a,n/a,5.6
Queen Elizabeth Elemetary,School Rankings,604 713-5408,Vancouver,33,4.9,0,6.8,Discontinued,515,510,450,527,Discontinued,656,690,533,656,543,n/a,n/a,n/a,n/a,574,555,544,484,492,Discontinued,505,493,516,490,Discontinued,702,560,570,592,560,n/a,n/a,n/a,n/a,555,560,553,561,543,Discontinued,n/a,M 43,M 26,n/a,M 93,n/a,n/a,n/a,n/a,M 96,n/a,M 31,M 117,n/a,4.8,6.3,8.6,10.7,12.8,44.7,62.3,42.4,41.7,68.4,6.8,6.9,6.9,5.5,5.9
Ecole Jules Quesnel Elementary,School Rankings,604 713-4577,Vancouver,2,5.9,100,7.7,Discontinued,544,482,494,447,Discontinued,586,543,527,392,515,n/a,n/a,n/a,n/a,488,573,524,511,434,Discontinued,561,508,586,543,Discontinued,713,554,593,684,583,n/a,n/a,n/a,n/a,590,559,543,535,550,Discontinued,F 20,F 37,F 48,F 52,M 8,n/a,n/a,n/a,n/a,M 80,F 8,F 18,F 33,F 8,11.3,8.1,16.9,7.6,22.9,15.7,31.4,11.5,5.3,6.7,7.7,7.9,6.7,7.1,6.3
Queen Mary Elementary,School Rankings,604 713-5464,Vancouver,16.7,7.7,0,6.9,Discontinued,566,494,n/a,519,Discontinued,780,500,n/a,538,515,n/a,n/a,n/a,n/a,521,585,538,n/a,580,Discontinued,571,493,n/a,482,Discontinued,792,690,n/a,580,504,n/a,n/a,n/a,n/a,529,588,575,n/a,514,Discontinued,n/a,n/a,n/a,F 30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,M 33,19.1,5.4,9.2,n/a,13.1,28.8,56.5,51.3,n/a,29.1,6.9,8.1,6.7,n/a,6.8
Our Lady of Perpetual Help,School Rankings,604 228-8811,Vancouver,0,6.5,0,8.5,Discontinued,588,573,589,627,Discontinued,600,691,632,644,567,n/a,n/a,n/a,n/a,566,594,605,611,631,Discontinued,546,563,587,572,Discontinued,688,737,773,703,557,n/a,n/a,n/a,n/a,571,579,591,597,628,Discontinued,F 33,F 26,F 24,F 5,M 17,n/a,n/a,n/a,n/a,M 62,F 31,F 3,F 1,M 21,6.5,2.7,2.2,0.9,1.3,1,4.6,0.9,0.9,3.8,8.5,8.4,9.5,9.7,9.9
West Point Grey Academy,School Rankings,604 222-8750,Vancouver,0,9.9,0,10,Discontinued,682,640,630,672,Discontinued,857,822,825,817,619,n/a,n/a,n/a,n/a,622,682,648,635,665,Discontinued,664,630,612,618,Discontinued,859,829,825,814,642,n/a,n/a,n/a,n/a,632,677,622,611,625,Discontinued,F 15,F 29,F 11,F 20,F 28,n/a,n/a,n/a,n/a,M 8,M 31,F 12,M 48,F 7,0.4,0,0.2,0,0,3.5,7.8,0,3.5,3.4,10,10,10,10,10
